,pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
169,LHS 1140 c,3.77792,0.02734,1.169,0.104,1.76,0.00554,0.274,709.0,2988.0,0.21,0.19,-0.262,4.858333333333333
170,LHS 1815 b,3.81433,0.0404,1.088,0.097,8.7,0.02737,0.0,617.0,3643.0,0.5,0.5,-0.12,4.77
171,LP 714-47 b,4.052037,0.0417,4.7,0.419,30.8,0.09691,0.04,700.0,3950.0,0.58,0.59,0.41,4.64
172,LTT 1445 A b,5.3587657,0.03813,1.305,0.116,2.87,0.00903,0.11,424.0,3340.0,0.27,0.26,-0.34,4.848333333333334
173,LTT 1445 A c,3.1239035,0.02661,1.147,0.102,1.54,0.00485,0.223,508.0,3340.0,0.27,0.26,-0.34,4.8483333333333345
174,LTT 3780 b,0.768377,0.01203,1.35,0.12,2.34,0.00736,0.064,1000.0,3360.0,0.38,0.38,0.09,4.81
175,LTT 3780 c,12.252131,0.0762,2.42,0.216,6.29,0.01979,0.115,397.0,3360.0,0.38,0.38,0.09,4.81
176,MASCARA-1 b,2.14878,0.043,16.814,1.5,1175.971,3.7,0.0,2570.0,7554.0,2.1,1.72,0.0,4.0
177,MASCARA-4 b,2.82406,0.047,17.15,1.53,985.273,3.1,0.0,2100.0,7800.0,1.92,1.75,0.0,4.1
178,NGTS-10 b,0.7668944,0.0143,13.507,1.205,687.14846,2.162,0.0,1332.0,4600.0,0.7,0.7,-0.02,4.59
179,NGTS-12 b,7.532806,0.0757,11.747,1.048,66.10864,0.208,0.0,1257.0,5690.0,1.59,1.02,-0.03,4.04
180,NGTS-13 b,4.119027,0.0549,12.801,1.142,1538.2972,4.84,0.086,1605.0,5819.0,1.79,1.3,0.25,4.04
181,NGTS-14 A b,3.5357173,0.0403,4.977,0.444,29.24036,0.092,0.0,1143.0,5187.0,0.84,0.9,0.1,4.2
182,NGTS-15 b,3.27623,0.0441,12.33,1.1,238.68913,0.751,0.0,1146.0,5600.0,0.95,0.99,0.15,4.4
183,NGTS-16 b,4.84532,0.0523,14.572,1.3,211.99155,0.667,0.0,1177.0,5550.0,1.21,1.0,0.35,4.35
184,NGTS-17 b,3.24253,0.0391,13.899,1.24,242.8209,0.764,0.0,1457.0,5650.0,1.34,1.02,0.15,4.0
185,NGTS-18 b,3.05125,0.0448,13.563,1.21,129.99182,0.409,0.0,1381.0,5610.0,1.39,1.0,0.15,4.16
186,NGTS-2 b,4.511164,0.063,17.878,1.595,235.1942,0.74,0.0,1468.0,6478.0,1.7,1.64,-0.06,4.2
187,NGTS-20 b,54.18915,0.313,11.994,1.07,947.12865,2.98,0.432,688.0,5980.0,1.78,1.47,0.15,3.8
188,NGTS-4 b,1.3373508,0.019,3.18,0.284,20.6,0.06481,0.0,1650.0,5143.0,0.84,0.75,-0.28,4.5
189,NGTS-5 b,3.3569866,0.0382,12.733,1.136,72.78307,0.229,0.0,952.0,4987.0,0.74,0.66,0.12,4.52
190,NGTS-6 b,0.882059,0.01677,14.863,1.326,425.57437,1.339,0.0,1284.0,4730.0,0.75,0.77,0.11,4.7
191,NGTS-8 b,2.4997,0.035,12.218,1.09,295.5819,0.93,0.01,1345.0,5241.0,0.98,0.89,0.24,4.41
192,NGTS-9 b,4.43527,0.058,11.994,1.07,921.707,2.9,0.06,1448.0,6330.0,1.38,1.34,0.31,4.37
193,OGLE-TR-113 b,1.43247425,0.02265,12.195,1.088,390.9309,1.23,0.04716666666666667,1342.0,4790.0,0.77,0.76,0.09,4.55
194,OGLE-TR-182 b,3.9791,0.05205,16.477,1.47,336.8998,1.06,0.07805555555555556,1550.0,5924.0,1.53,1.19,0.37,4.14
195,OGLE2-TR-L9 b,2.485533,0.0404,18.091,1.614,1379.3822,4.34,0.02523333333333333,2039.0,6933.0,1.5,1.42,-0.05,4.24
196,PH1 b,138.317,0.652,6.18,0.551,169.0,0.531,0.0702,481.0,6407.0,1.73,1.53,0.21,4.14
197,Qatar-1 b,1.42002504,0.02343,13.227,1.18,422.7139,1.33,0.0,1389.0,4910.0,0.8,0.85,0.2,4.55
198,Qatar-3 b,2.5079204,0.03783,12.285,1.096,1369.8473,4.31,0.0,1681.0,6007.0,1.27,1.15,-0.041,4.29
199,Qatar-6 b,3.506195,0.0423,11.904,1.062,212.31044,0.668,0.0,1006.0,5052.0,0.72,0.82,-0.025,4.64
200,Qatar-7 b,2.032046,0.0352,19.055,1.7,597.5204,1.88,0.0,2053.0,6387.0,1.56,1.41,0.276,4.2
201,Qatar-8 b,3.71495,0.0474,14.404,1.285,117.91493,0.371,0.0,1457.0,5738.0,1.31,1.03,0.025,4.21
202,Qatar-9 b,1.540731,0.0234,11.31,1.009,378.2177,1.19,0.0,1134.0,4309.0,0.7,0.72,0.252,4.61
203,TIC 237913194 b,15.168865,0.1207,12.52,1.117,617.22586,1.942,0.575,974.0,5788.0,1.09,1.03,0.14,4.38
204,TOI-1064 b,6.443868,0.06152,2.587,0.231,13.5,0.04248,0.047,784.0,4734.0,0.73,0.75,0.05,4.6
205,TOI-1107 b,4.0782387,0.0561,14.572,1.3,1064.72516,3.35,0.025,1728.0,6311.0,1.81,1.35,-0.1,4.05
206,TOI-1130 c,8.350381,0.07098,16.814,1.5,309.56642,0.974,0.047,637.0,4250.0,0.69,0.68,0.2,4.6
207,TOI-1201 b,2.4919863,0.0287,2.415,0.215,6.28,0.01976,0.0,703.0,3476.0,0.51,0.51,0.05,4.8
208,TOI-1246 b,4.30744,0.049,3.01,0.269,8.1,0.02549,0.06967777777777778,955.0,5151.0,0.86,0.87,0.17,4.4
209,TOI-1246 c,5.904144,0.061,2.51,0.224,8.8,0.02769,0.07093888888888888,860.0,5151.0,0.86,0.87,0.17,4.4
210,TOI-1246 d,18.6559,0.131,3.51,0.313,5.3,0.01668,0.05732777777777777,586.0,5151.0,0.86,0.87,0.17,4.4
211,TOI-1246 e,37.9216,0.211,3.78,0.337,14.8,0.04657,0.06049444444444444,462.0,5151.0,0.86,0.87,0.17,4.4
212,TOI-125 d,19.98,0.137,2.93,0.261,13.6,0.04279,0.168,638.0,5320.0,0.85,0.86,-0.02,4.52
213,TOI-1259 A b,3.477978,0.0407,11.456,1.022,140.16233,0.441,0.0,963.0,4775.0,0.71,0.74,-0.5,4.61
214,TOI-1268 b,8.1577094,0.0711,9.1,0.812,96.4,0.30331,0.105,919.0,5300.0,0.92,0.96,0.36,4.55
215,TOI-1272 b,3.31599,0.0412,4.14,0.369,24.6,0.0774,0.338,961.0,4985.0,0.79,0.85,0.17,4.55
216,TOI-1296 b,3.9443715,0.0497,13.798,1.231,94.71287,0.298,0.055,1562.0,5603.0,1.66,1.17,0.44,4.05
217,TOI-1333 b,4.720219,0.0626,15.648,1.396,753.2571,2.37,0.073,1679.0,6274.0,1.93,1.46,0.119,4.03
218,TOI-1431 b,2.650237,0.046,16.701,1.49,991.62463,3.12,0.0022,2370.0,7690.0,1.92,1.9,0.09,4.15
219,TOI-1478 b,10.180249,0.0903,11.882,1.06,270.47333,0.851,0.024,918.0,5597.0,1.05,0.95,0.078,4.37
220,TOI-150.01,5.857487,0.07037,14.067,1.255,797.7533,2.51,0.262,1404.0,6255.0,1.53,1.35,0.28,4.13
221,TOI-1518 b,1.902603,0.0389,21.017,1.875,731.00534,2.3,0.01,2492.0,7300.0,1.95,1.79,-0.1,4.1
222,TOI-1601 b,5.331751,0.06864,13.888,1.239,314.6517,0.99,0.036,1619.0,5948.0,2.19,1.52,0.329,3.94
223,TOI-1634 b,0.9893436,0.0149,1.749,0.156,10.14,0.0319,0.0,920.0,3472.0,0.45,0.45,0.19,4.79
224,TOI-1670 b,10.98462,0.103,2.06,0.184,41.31769,0.13,0.59,1062.0,6170.0,1.32,1.21,0.09,4.29
225,TOI-1670 c,40.74976,0.249,11.063,0.987,200.2319,0.63,0.09,684.0,6170.0,1.32,1.21,0.09,4.29
226,TOI-1685 b,0.6691403,0.027585111111111112,1.7,0.152,3.78,0.01189,0.06894444444444445,1069.0,3434.0,0.49,0.49,-0.13,4.85
227,TOI-1696 b,2.50031,0.0235,3.24,0.289,56.6,0.17808,0.0,533.0,3168.0,0.29,0.27,0.19,4.96
228,TOI-172 b,9.47725,0.0914,10.817,0.965,1722.6386,5.42,0.3806,1198.0,5645.0,1.78,1.13,0.148,3.99
229,TOI-1749 b,2.38839,0.0291,1.39,0.124,57.0,0.17934,0.14,831.0,3985.0,0.55,0.58,-0.26,4.7
230,TOI-1759 b,18.85019,0.1177,3.14,0.28,10.8,0.03398,0.0,443.0,4065.0,0.6,0.61,0.05,4.65
231,TOI-178 b,1.914558,0.02607,1.152,0.103,1.5,0.00472,0.05205555555555555,1040.0,4316.0,0.65,0.65,-0.23,4.45
232,TOI-178 c,3.23845,0.037,1.669,0.149,4.77,0.01501,0.052777777777777785,873.0,4316.0,0.65,0.65,-0.23,4.45
233,TOI-178 e,9.961881,0.0783,2.207,0.197,3.86,0.01214,0.07827777777777778,600.0,4316.0,0.65,0.65,-0.23,4.45
234,TOI-178 f,15.231915,0.1039,2.287,0.204,7.72,0.02429,0.08038888888888888,521.0,4316.0,0.65,0.65,-0.23,4.45
235,TOI-178 g,20.7095,0.1275,2.87,0.256,3.94,0.0124,0.07794444444444444,470.0,4316.0,0.65,0.65,-0.23,4.45
236,TOI-1899 b,29.02,0.1587,12.89,1.15,209.7678,0.66,0.118,362.0,3841.0,0.61,0.63,0.31,4.67
237,TOI-201 b,52.97818,0.3,11.299,1.008,133.4886,0.42,0.28,759.0,6394.0,1.32,1.32,0.24,4.32
238,TOI-2136 b,7.85191,0.054,2.09,0.186,15.0,0.0472,0.0,403.0,3366.0,0.34,0.34,-0.02,4.92
239,TOI-220 b,10.695264,0.08911,3.03,0.27,13.8,0.04342,0.032,805.0,5298.0,0.86,0.82,-0.217,4.37
240,TOI-3629 b,3.936551,0.043,8.295,0.74,82.63539,0.26,0.05,690.0,3870.0,0.6,0.63,0.4,4.67
241,TOI-3714 b,2.154849,0.027,11.321,1.01,222.47988,0.7,0.03,750.0,3660.0,0.51,0.53,0.1,4.75
242,TOI-421 b,5.19672,0.056,2.68,0.239,7.17,0.02256,0.163,981.0,5325.0,0.87,0.85,-0.02,4.49
243,TOI-421 c,16.06819,0.1189,5.09,0.454,16.42,0.05166,0.152,674.0,5325.0,0.87,0.85,-0.02,4.49
244,TOI-500 b,0.548177,0.01189,1.166,0.104,1.42,0.00447,0.063,1617.0,4440.0,0.68,0.74,0.12,4.62
245,TOI-5153 b,20.33003,0.158,11.882,1.06,1036.12061,3.26,0.091,906.0,6300.0,1.4,1.24,0.12,4.3
246,TOI-519 b,1.2652328,0.012,11.994,1.07,4449.62,14.0,0.08297777777777776,760.0,3350.0,0.37,0.37,0.13072222222222224,4.360555555555556
247,TOI-561 f,16.287,0.1174,2.32,0.207,3.0,0.00944,0.0,750.0,5326.0,0.83,0.81,-0.41,4.5
248,TOI-564 b,1.651144,0.02734,11.433,1.02,464.98529,1.463,0.072,1714.0,5640.0,1.09,1.0,0.143,4.36
249,TOI-640 b,5.0037775,0.06608,19.851,1.771,279.6904,0.88,0.05,1749.0,6460.0,2.08,1.54,0.072,3.99
250,TOI-763 c,12.2737,0.1011,2.63,0.235,9.32,0.02932,0.04,800.0,5450.0,0.9,0.92,0.01,4.45
251,TOI-776 b,8.24661,0.0652,1.85,0.165,4.0,0.01259,0.06,514.0,3709.0,0.54,0.54,-0.2,4.73
252,TOI-776 c,15.6653,0.1,2.02,0.18,5.3,0.01668,0.04,415.0,3709.0,0.54,0.54,-0.2,4.73
253,TRAPPIST-1 b,1.51087081,0.01111,1.086,0.097,0.85,0.00267,0.081,400.0,2559.0,0.12,0.08,0.04,4.8583333333333325
254,TRAPPIST-1 d,4.04961,0.02144,0.772,0.069,0.41,0.00129,0.07,288.0,2559.0,0.12,0.08,0.04,4.857777777777778
255,TRAPPIST-1 e,6.099615,0.02817,0.918,0.082,0.62,0.00195,0.085,251.0,2559.0,0.12,0.08,0.04,4.857777777777778
256,TRAPPIST-1 f,9.20669,0.0371,1.045,0.093,0.68,0.00214,0.063,219.0,2559.0,0.12,0.08,0.04,4.857777777777778
257,TrES-5 b,1.48224686,0.02459,13.384,1.194,568.9157,1.79,0.06977777777777779,1480.0,5171.0,0.87,0.9,0.2,4.52
258,WASP-105 b,7.87288,0.075,10.761,0.96,572.094,1.8,0.0,900.0,5070.0,0.9,0.89,0.28,4.2
259,WASP-107 b,5.72149,0.055,10.536,0.94,38.1396,0.12,0.0,770.0,4430.0,0.66,0.69,0.02,4.5
260,WASP-113 b,4.54216875,0.05885,15.793,1.409,150.96925,0.475,0.0,1496.0,5890.0,1.61,1.32,0.1,4.2
261,WASP-114 b,1.5487743,0.02851,15.009,1.339,562.24127,1.769,0.012,2043.0,5940.0,1.43,1.29,0.14,4.3
262,WASP-118 b,4.0460435,0.05453,16.141,1.44,163.36462,0.514,0.0,1729.0,6410.0,1.7,1.32,0.16,4.1
263,WASP-123 b,2.9776412,0.04263,14.773,1.318,285.72917,0.899,0.0,1520.0,5740.0,1.28,1.17,0.18,4.29
264,WASP-126 b,3.2888,0.0449,10.761,0.96,88.9924,0.28,0.18,1480.0,5800.0,1.27,1.12,0.17,4.28
265,WASP-127 b,4.178062,0.052,15.356,1.37,57.2094,0.18,0.05461111111111112,1400.0,5620.0,1.39,1.08,-0.18,4.18
266,WASP-129 b,5.748145,0.0628,10.424,0.93,317.83,1.0,0.096,1100.0,5900.0,0.9,1.0,0.15,4.53
267,WASP-131 b,5.322023,0.0607,13.675,1.22,85.8141,0.27,0.0,1460.0,6030.0,1.53,1.06,-0.18,4.09
268,WASP-133 b,2.176423,0.0345,13.563,1.21,368.6828,1.16,0.17,1790.0,5700.0,1.44,1.16,0.29,4.18
269,WASP-136 b,5.215357,0.0661,15.468,1.38,479.9233,1.51,0.07300000000000001,1742.0,6260.0,2.21,1.41,-0.18,3.9
270,WASP-138 b,3.634433,0.0494,12.218,1.09,387.7526,1.22,0.05077777777777778,1590.0,6272.0,1.36,1.22,-0.09,4.25
271,WASP-139 b,5.924262,0.062,8.967,0.8,37.18611,0.117,0.0,910.0,5310.0,0.8,0.92,0.2,4.59
272,WASP-140 b,2.2359835,0.0323,16.141,1.44,775.5052,2.44,0.047,1320.0,5260.0,0.87,0.9,0.12,4.51
273,WASP-142 b,2.052868,0.0347,17.15,1.53,266.9772,0.84,0.0,2000.0,6010.0,1.64,1.33,0.26,4.13
274,WASP-145 A b,1.7690381,0.0261,10.088,0.9,282.8687,0.89,0.0,1200.0,4900.0,0.68,0.76,-0.04,4.65
275,WASP-147 b,4.60273,0.0549,12.498,1.115,87.40325,0.275,0.0,1404.0,5702.0,1.43,1.04,0.092,4.256111111111112
276,WASP-148 b,8.80381,0.0845,8.093,0.722,92.48853,0.291,0.22,940.0,5460.0,1.03,1.0,0.11,4.4
277,WASP-151 b,4.5334775,0.055,13.305,1.187,100.43378,0.316,0.0,1312.0,5718.722222222223,1.18,1.08,0.00288888888888889,4.332777777777777
278,WASP-153 b,3.332609,0.048,17.374,1.55,123.9537,0.39,0.009,1700.0,5914.0,1.73,1.34,0.34,4.1
279,WASP-156 b,3.836169,0.0453,5.717,0.51,40.68224,0.128,0.007,970.0,4910.0,0.76,0.84,0.24,4.6
280,WASP-158 b,3.656333,0.0517,11.994,1.07,886.7457,2.79,0.0,1590.0,6350.0,1.39,1.38,0.24,4.3
281,WASP-159 b,3.840401,0.0538,15.468,1.38,174.8065,0.55,0.0,1850.0,6120.0,2.11,1.41,0.22,3.94
282,WASP-160 B b,3.7684952,0.0452,12.218,1.09,88.35674,0.278,0.0,1119.0,5298.0,0.87,0.87,0.27,4.421111111111111
283,WASP-161 b,5.4060425,0.0673,12.812,1.143,791.3967,2.49,0.06183333333333333,1557.0,6400.0,1.71,1.39,0.16,4.11
284,WASP-162 b,9.62468,0.0871,11.209,1.0,1652.716,5.2,0.434,910.0,5300.0,1.11,0.95,0.28,4.33
285,WASP-163 b,1.6096884,0.0266,13.473,1.202,594.3421,1.87,0.06916666666666665,1638.0,5500.0,1.01,0.97,-0.34,4.41
286,WASP-164 b,1.7771255,0.02818,12.644,1.128,676.9779,2.13,0.0,1610.0,5806.0,0.93,0.95,-0.01,4.263333333333334
287,WASP-165 b,3.465509,0.04823,14.123,1.26,209.13214,0.658,0.0,1624.0,5599.0,1.75,1.25,0.33,4.243333333333333
288,WASP-167 b,2.0219596,0.0365,17.71,1.58,2542.64,8.0,0.04248888888888888,2329.0,7000.0,1.79,1.59,0.1,4.13
289,WASP-168 b,4.153658,0.0519,16.814,1.5,133.4886,0.42,0.0,1340.0,6000.0,1.12,1.08,-0.01,4.37
290,WASP-169 b,5.6114118,0.0681,14.617,1.304,178.30263,0.561,0.0,1604.0,6110.0,2.01,1.34,0.06,3.96
291,WASP-17 b,3.7354845,0.05125,21.656,1.932,151.60491,0.477,0.0,1755.0,6211.111111111111,1.58,1.29,0.07605555555555554,4.15
292,WASP-170 b,2.34478022,0.0337,12.285,1.096,508.528,1.6,0.08072222222222222,1422.0,5600.0,0.94,0.93,0.22,4.47
293,WASP-171 b,3.8186244,0.0504,10.985,0.98,344.52772,1.084,0.0,1642.0,5965.0,1.64,1.17,0.04,4.08
294,WASP-172 b,5.477433,0.0694,17.598,1.57,149.3801,0.47,0.0,1740.0,6900.0,1.91,1.49,-0.1,4.05
295,WASP-173 A b,1.38665318,0.0248,13.451,1.2,1172.7927,3.69,0.0,1880.0,5800.0,1.11,1.05,0.16,4.37
296,WASP-174 b,4.2337,0.0559,14.572,1.3,413.179,1.3,0.04716666666666667,1490.0,6400.0,1.31,1.3,0.09,4.32
297,WASP-175 b,3.0652907,0.04403,13.54,1.208,314.6517,0.99,0.0,1571.0,6229.0,1.2,1.21,0.15,4.36
298,WASP-176 b,3.899052,0.0535,16.87,1.505,271.74465,0.855,0.0,1721.0,5941.0,1.93,1.34,0.164,4.0
299,WASP-177 b,3.071722,0.03957,17.71,1.58,161.45764,0.508,0.06238888888888889,1142.0,5017.0,0.89,0.88,0.25,4.49
300,WASP-178 b,3.3448412,0.0545,21.745,1.94,448.1403,1.41,0.0,2402.0,8640.0,1.8,1.93,-0.06,4.21
301,WASP-180 A b,3.409264,0.048,13.899,1.24,286.047,0.9,0.0,1540.0,6600.0,1.19,1.3,0.1,4.42
302,WASP-181 b,4.5195064,0.05427,13.271,1.184,95.03117,0.299,0.08733333333333332,1186.0,5839.0,0.96,1.04,0.09,4.49
303,WASP-182 b,3.3769848,0.0451,9.528,0.85,47.03884,0.148,0.0,1479.0,5638.0,1.34,1.08,0.27,4.22
304,WASP-183 b,4.1117771,0.04632,16.477,1.47,159.55066,0.502,0.14477777777777778,1111.0,5313.0,0.87,0.78,-0.31,4.45
305,WASP-184 b,5.1817,0.0627,14.908,1.33,181.1631,0.57,0.0,1480.0,6000.0,1.65,1.23,0.12,4.09
306,WASP-185 b,9.38755,0.0904,14.011,1.25,311.4734,0.98,0.24,1160.0,5900.0,1.5,1.12,-0.02,4.13
307,WASP-189 b,2.724033,0.05053,18.147,1.619,632.47853,1.99,0.0,3353.0,8000.0,2.36,2.03,0.29,3.9
308,WASP-190 b,5.367753,0.0663,12.89,1.15,317.83,1.0,0.0,1500.0,6400.0,1.6,1.35,-0.02,4.17
309,WASP-192 b,2.8786765,0.0408,13.787,1.23,731.009,2.3,0.0,1620.0,5910.0,1.32,1.09,0.14,4.24
310,WASP-22 b,3.53269,0.0468,12.554,1.12,177.9848,0.56,0.023,1430.0,6000.0,1.13,1.1,-0.05,4.37
311,WASP-24 b,2.3412217,0.03635,14.605,1.303,352.47347,1.109,0.05172222222222222,1772.0,6107.0,1.32,1.17,-0.02,4.27
312,WASP-28 b,3.40884,0.0445,15.177,1.354,285.717,0.899,0.026000000000000002,1473.0,6084.0,1.12,1.01,-0.2,4.34
313,WASP-41 b,3.052404,0.04,13.227,1.18,298.7602,0.94,0.026,1244.0,5545.0,0.87,0.93,0.06,4.53
314,WASP-44 b,2.423812,0.03443,10.985,0.98,275.55861,0.867,0.0,1304.0,5410.0,1.0483333333333336,0.9661111111111111,0.06,4.48
315,WASP-45 b,3.126096,0.0405,11.119,0.992,318.46566,1.002,0.05077777777777778,1170.0,5100.0,0.92,0.9,0.5,4.47
316,WASP-49 b,2.7817362,0.03873,13.428,1.198,126.81417,0.399,0.0,1400.0,5600.0,1.04,1.0,0.14227777777777778,4.5
317,WASP-5 b,1.6284246,0.02714,13.047,1.164,497.40395,1.565,0.059444444444444446,1732.0,5700.0,1.08,1.0,0.09,4.38
318,WASP-53 b,3.3098443,0.04101,12.038,1.074,677.61356,2.132,0.03,1053.0,4953.0,0.8,0.84,0.22,4.55
319,WASP-54 b,3.6936411,0.04987,18.528,1.653,202.131,0.636,0.067,1759.0,6100.0,1.83,1.21,-0.27,4.0
320,WASP-57 b,2.83891856,0.03769,11.769,1.05,204.68252,0.644,0.07688888888888888,1338.0,5600.0,0.93,0.89,-0.25,4.45
321,WASP-59 b,7.919585,0.0697,8.687,0.775,274.276,0.863,0.1,670.0,4650.0,0.61,0.72,-0.15,4.72
322,WASP-65 b,2.3114243,0.0334,12.464,1.112,492.62,1.55,0.0,1480.0,5600.0,1.01,0.93,-0.07,4.4
323,WASP-68 b,5.084298,0.06206,13.9,1.24,301.93,0.95,0.0,1490.0,5911.0,1.69,1.24,0.22,4.09
324,WASP-69 b,3.8681382,0.04525,9.113,1.057,82.632,0.26,0.0,963.0,4715.0,0.81,0.83,0.144,4.54
325,WASP-70 A b,3.7130203,0.04853,13.047,1.164,187.512,0.59,0.0,1387.0,5763.0,1.22,1.11,-0.006,4.31
326,WASP-73 b,4.08722,0.05512,13.002,1.16,597.5,1.88,0.0,1790.0,6036.0,2.07,1.34,0.14,3.93
327,WASP-76 b,1.809886,0.033,20.512,1.83,292.4036,0.92,0.0,2160.0,6250.0,1.73,1.46,0.23,4.13
328,WASP-79 b,3.662392,0.0519,17.15,1.53,270.1555,0.85,0.0,1716.0,6600.0,1.51,1.39,0.03,4.23
329,WASP-80 b,3.1,0.034,10.65,0.95,174.8,0.55,0.0,800.0,4150.0,0.6327777777777777,0.6438888888888888,0.005166666666666668,4.613333333333333
330,WASP-82 b,2.705782,0.0447,18.719,1.67,394.1092,1.24,0.0,2190.0,6490.0,2.18,1.63,0.12,3.97
331,WASP-84 b,8.5234865,0.0771,10.559,0.942,220.565,0.694,0.0,797.0,5314.0,0.75,0.84,0.0,4.4
332,WASP-89 b,3.3564227,0.0427,11.657,1.04,1875.197,5.9,0.193,1120.0,5130.0,0.88,0.92,0.15,4.51
333,WASP-91 b,2.798581,0.037,11.545,1.03,425.8922,1.34,0.0,1160.0,4920.0,0.86,0.84,0.19,4.3
334,WTS-1 b,3.352057,0.047,16.7,1.49,1274.44,4.01,0.1,1500.0,6250.0,1.15,1.2,-0.5,4.4
335,Wendelstein-1 b,2.663416,0.0282,11.561,1.031,188.15536,0.592,0.012,2198.0,4251.0,0.61,0.65,0.06477777777777777,4.554444444444445
336,Wendelstein-2 b,1.7522239,0.0234,12.993,1.159,232.33373,0.731,0.057,2470.0,4591.0,0.66,0.73,0.09427777777777777,4.435555555555556
337,XO-1 b,3.941534,0.04928,13.518,1.206,291.76794,0.918,0.0898888888888889,1196.0,5362.777777777777,0.9750000000000001,0.9405555555555557,0.16816666666666666,4.437222222222221
338,XO-5 b,4.1877558,0.0515,12.78,1.14,378.2,1.19,0.0,1230.0,5430.0,1.13,1.04,0.05,4.35
339,XO-7 b,2.8641424,0.04421,15.39,1.373,225.34147,0.709,0.038,1743.0,6250.0,1.48,1.41,0.432,4.25
